time_attendance_id,employee_id,attendance_date,clock_in,clock_in_ip_address,clock_in_out,clock_out,clock_out_ip_address,clock_in_latitude,clock_in_longitude,clock_out_latitude,clock_out_longitude,status
36,36,2018-10-01,2018-10-01 9:20:00,199:200:54:542,11,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
37,37,2018-10-01,2018-10-01 9:18:00,199:200:54:542,11,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
38,38,2018-10-01,2018-10-01 9:15:00,199:200:54:542,11,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
39,39,2018-10-01,2018-10-01 9:20:00,199:200:54:542,5,2018-10-01 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
40,40,2018-10-01,2018-10-01 9:24:00,199:200:54:542,8,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
41,41,2018-10-01,2018-10-01 9:19:00,199:200:54:542,14,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
42,42,2018-10-01,2018-10-01 9:17:00,199:200:54:542,13,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
43,43,2018-10-01,2018-10-01 9:20:00,199:200:54:542,10,2018-10-01 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
44,44,2018-10-01,2018-10-01 9:16:00,199:200:54:542,7,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
45,45,2018-10-01,2018-10-01 9:23:00,199:200:54:542,9,2018-10-01 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
46,46,2018-10-01,2018-10-01 9:17:00,199:200:54:542,4,2018-10-01 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
47,47,2018-10-01,2018-10-01 9:17:00,199:200:54:542,8,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
48,48,2018-10-01,2018-10-01 9:18:00,199:200:54:542,4,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
49,49,2018-10-01,2018-10-01 9:16:00,199:200:54:542,5,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
50,50,2018-10-01,2018-10-01 9:17:00,199:200:54:542,4,2018-10-01 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
51,51,2018-10-01,2018-10-01 9:18:00,199:200:54:542,7,2018-10-01 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
52,52,2018-10-01,2018-10-01 9:21:00,199:200:54:542,9,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
53,53,2018-10-01,2018-10-01 9:24:00,199:200:54:542,5,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
54,54,2018-10-01,2018-10-01 9:18:00,199:200:54:542,4,2018-10-01 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
55,55,2018-10-01,2018-10-01 9:19:00,199:200:54:542,7,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
56,56,2018-10-01,,,,,,,,,,Absent
57,57,2018-10-01,2018-10-01 9:19:00,199:200:54:542,7,2018-10-01 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
58,1,2018-10-02,2018-10-02 9:16:00,199:200:54:542,14,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
59,2,2018-10-02,2018-10-02 9:18:00,199:200:54:542,10,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
60,3,2018-10-02,2018-10-02 9:19:00,199:200:54:542,13,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
61,4,2018-10-02,2018-10-02 9:16:00,199:200:54:542,14,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
62,5,2018-10-02,2018-10-02 9:22:00,199:200:54:542,11,2018-10-02 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
63,6,2018-10-02,2018-10-02 9:19:00,199:200:54:542,10,2018-10-02 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
64,7,2018-10-02,2018-10-02 9:22:00,199:200:54:542,12,2018-10-02 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
65,8,2018-10-02,2018-10-02 9:20:00,199:200:54:542,11,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
66,9,2018-10-02,2018-10-02 9:15:00,199:200:54:542,14,2018-10-02 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
67,10,2018-10-02,2018-10-02 9:24:00,199:200:54:542,14,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
68,11,2018-10-02,2018-10-02 9:16:00,199:200:54:542,9,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
69,12,2018-10-02,2018-10-02 9:17:00,199:200:54:542,6,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
70,13,2018-10-02,2018-10-02 9:16:00,199:200:54:542,10,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
71,14,2018-10-02,2018-10-02 9:20:00,199:200:54:542,10,2018-10-02 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
72,15,2018-10-02,2018-10-02 9:24:00,199:200:54:542,9,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
73,16,2018-10-02,2018-10-02 9:21:00,199:200:54:542,6,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
74,17,2018-10-02,,,,,,,,,,Absent
75,18,2018-10-02,2018-10-02 9:16:00,199:200:54:542,14,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
76,19,2018-10-02,2018-10-02 9:22:00,199:200:54:542,13,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
77,20,2018-10-02,2018-10-02 9:21:00,199:200:54:542,12,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
78,21,2018-10-02,2018-10-02 9:19:00,199:200:54:542,5,2018-10-02 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
79,22,2018-10-02,2018-10-02 9:21:00,199:200:54:542,11,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
80,23,2018-10-02,2018-10-02 9:20:00,199:200:54:542,6,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
81,24,2018-10-02,2018-10-02 9:19:00,199:200:54:542,8,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
82,25,2018-10-02,2018-10-02 9:19:00,199:200:54:542,5,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
83,26,2018-10-02,2018-10-02 9:24:00,199:200:54:542,11,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
84,27,2018-10-02,2018-10-02 9:18:00,199:200:54:542,4,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
85,28,2018-10-02,2018-10-02 9:21:00,199:200:54:542,13,2018-10-02 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
86,29,2018-10-02,2018-10-02 9:19:00,199:200:54:542,5,2018-10-02 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
87,30,2018-10-02,2018-10-02 9:20:00,199:200:54:542,13,2018-10-02 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
88,31,2018-10-02,2018-10-02 9:15:00,199:200:54:542,5,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
89,32,2018-10-02,2018-10-02 9:20:00,199:200:54:542,10,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
90,33,2018-10-02,2018-10-02 9:16:00,199:200:54:542,11,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
91,34,2018-10-02,2018-10-02 9:16:00,199:200:54:542,10,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
92,35,2018-10-02,,,,,,,,,,Absent
93,36,2018-10-02,2018-10-02 9:23:00,199:200:54:542,13,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
94,37,2018-10-02,2018-10-02 9:24:00,199:200:54:542,8,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
95,38,2018-10-02,2018-10-02 9:22:00,199:200:54:542,13,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
96,39,2018-10-02,2018-10-02 9:17:00,199:200:54:542,12,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
97,40,2018-10-02,2018-10-02 9:19:00,199:200:54:542,13,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
98,41,2018-10-02,2018-10-02 9:18:00,199:200:54:542,5,2018-10-02 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
99,42,2018-10-02,2018-10-02 9:19:00,199:200:54:542,6,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
100,43,2018-10-02,2018-10-02 9:24:00,199:200:54:542,10,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
101,44,2018-10-02,2018-10-02 9:15:00,199:200:54:542,5,2018-10-02 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
102,45,2018-10-02,2018-10-02 9:21:00,199:200:54:542,10,2018-10-02 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
103,46,2018-10-02,2018-10-02 9:18:00,199:200:54:542,12,2018-10-02 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
104,47,2018-10-02,2018-10-02 9:15:00,199:200:54:542,5,2018-10-02 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
105,48,2018-10-02,2018-10-02 9:20:00,199:200:54:542,4,2018-10-02 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
106,49,2018-10-02,2018-10-02 9:16:00,199:200:54:542,14,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
107,50,2018-10-02,2018-10-02 9:17:00,199:200:54:542,12,2018-10-02 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
108,51,2018-10-02,2018-10-02 9:20:00,199:200:54:542,5,2018-10-02 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
109,52,2018-10-02,2018-10-02 9:23:00,199:200:54:542,13,2018-10-02 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
110,53,2018-10-02,2018-10-02 9:19:00,199:200:54:542,9,2018-10-02 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
111,54,2018-10-02,2018-10-02 9:15:00,199:200:54:542,7,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
112,55,2018-10-02,2018-10-02 9:17:00,199:200:54:542,14,2018-10-02 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
113,56,2018-10-02,2018-10-02 9:18:00,199:200:54:542,8,2018-10-02 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
114,57,2018-10-02,2018-10-02 9:20:00,199:200:54:542,8,2018-10-02 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
115,1,2018-10-03,2018-10-03 9:21:00,199:200:54:542,4,2018-10-03 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
116,2,2018-10-03,2018-10-03 9:15:00,199:200:54:542,8,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
117,3,2018-10-03,2018-10-03 9:20:00,199:200:54:542,11,2018-10-03 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
118,4,2018-10-03,2018-10-03 9:21:00,199:200:54:542,9,2018-10-03 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
119,5,2018-10-03,2018-10-03 9:24:00,199:200:54:542,6,2018-10-03 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
120,6,2018-10-03,2018-10-03 9:24:00,199:200:54:542,7,2018-10-03 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
121,7,2018-10-03,2018-10-03 9:16:00,199:200:54:542,4,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
122,8,2018-10-03,2018-10-03 9:17:00,199:200:54:542,11,2018-10-03 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
123,9,2018-10-03,2018-10-03 9:19:00,199:200:54:542,5,2018-10-03 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
124,10,2018-10-03,2018-10-03 9:18:00,199:200:54:542,13,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
125,11,2018-10-03,2018-10-03 9:18:00,199:200:54:542,5,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
126,12,2018-10-03,2018-10-03 9:15:00,199:200:54:542,10,2018-10-03 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
127,13,2018-10-03,2018-10-03 9:21:00,199:200:54:542,13,2018-10-03 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
128,14,2018-10-03,2018-10-03 9:20:00,199:200:54:542,6,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
129,15,2018-10-03,2018-10-03 9:17:00,199:200:54:542,7,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
130,16,2018-10-03,2018-10-03 9:19:00,199:200:54:542,5,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
131,17,2018-10-03,2018-10-03 9:17:00,199:200:54:542,13,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
132,18,2018-10-03,2018-10-03 9:15:00,199:200:54:542,7,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
133,19,2018-10-03,2018-10-03 9:15:00,199:200:54:542,11,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
134,20,2018-10-03,2018-10-03 9:18:00,199:200:54:542,13,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
135,21,2018-10-03,2018-10-03 9:21:00,199:200:54:542,10,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
136,22,2018-10-03,2018-10-03 9:20:00,199:200:54:542,8,2018-10-03 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
137,23,2018-10-03,2018-10-03 9:19:00,199:200:54:542,14,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
138,24,2018-10-03,2018-10-03 9:20:00,199:200:54:542,11,2018-10-03 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
139,25,2018-10-03,2018-10-03 9:22:00,199:200:54:542,8,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
140,26,2018-10-03,2018-10-03 9:15:00,199:200:54:542,12,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
141,27,2018-10-03,2018-10-03 9:16:00,199:200:54:542,11,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
142,28,2018-10-03,2018-10-03 9:24:00,199:200:54:542,13,2018-10-03 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
143,29,2018-10-03,2018-10-03 9:20:00,199:200:54:542,8,2018-10-03 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
144,30,2018-10-03,2018-10-03 9:24:00,199:200:54:542,14,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
145,31,2018-10-03,2018-10-03 9:18:00,199:200:54:542,9,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
146,32,2018-10-03,2018-10-03 9:20:00,199:200:54:542,13,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
147,33,2018-10-03,,,,,,,,,,Absent
148,34,2018-10-03,2018-10-03 9:24:00,199:200:54:542,7,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
149,35,2018-10-03,2018-10-03 9:21:00,199:200:54:542,4,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
150,36,2018-10-03,2018-10-03 9:22:00,199:200:54:542,12,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
151,37,2018-10-03,2018-10-03 9:16:00,199:200:54:542,5,2018-10-03 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
152,38,2018-10-03,2018-10-03 9:21:00,199:200:54:542,13,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
153,39,2018-10-03,2018-10-03 9:21:00,199:200:54:542,9,2018-10-03 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
154,40,2018-10-03,2018-10-03 9:23:00,199:200:54:542,10,2018-10-03 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
155,41,2018-10-03,2018-10-03 9:16:00,199:200:54:542,12,2018-10-03 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
156,42,2018-10-03,2018-10-03 9:17:00,199:200:54:542,5,2018-10-03 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
157,43,2018-10-03,2018-10-03 9:24:00,199:200:54:542,8,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
158,44,2018-10-03,2018-10-03 9:16:00,199:200:54:542,14,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
159,45,2018-10-03,2018-10-03 9:18:00,199:200:54:542,7,2018-10-03 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
160,46,2018-10-03,2018-10-03 9:23:00,199:200:54:542,4,2018-10-03 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
161,47,2018-10-03,2018-10-03 9:15:00,199:200:54:542,13,2018-10-03 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
162,48,2018-10-03,2018-10-03 9:21:00,199:200:54:542,14,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
163,49,2018-10-03,2018-10-03 9:18:00,199:200:54:542,13,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
164,50,2018-10-03,2018-10-03 9:20:00,199:200:54:542,14,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
165,51,2018-10-03,,,,,,,,,,Absent
166,52,2018-10-03,2018-10-03 9:20:00,199:200:54:542,14,2018-10-03 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
167,53,2018-10-03,2018-10-03 9:18:00,199:200:54:542,4,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
168,54,2018-10-03,2018-10-03 9:21:00,199:200:54:542,4,2018-10-03 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
169,55,2018-10-03,2018-10-03 9:23:00,199:200:54:542,5,2018-10-03 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
170,56,2018-10-03,2018-10-03 9:24:00,199:200:54:542,5,2018-10-03 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
171,57,2018-10-03,2018-10-03 9:18:00,199:200:54:542,9,2018-10-03 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
172,1,2018-10-04,2018-10-04 9:19:00,199:200:54:542,9,2018-10-04 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
173,2,2018-10-04,2018-10-04 9:20:00,199:200:54:542,10,2018-10-04 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
174,3,2018-10-04,2018-10-04 9:22:00,199:200:54:542,12,2018-10-04 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
175,4,2018-10-04,2018-10-04 9:20:00,199:200:54:542,13,2018-10-04 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
176,5,2018-10-04,2018-10-04 9:23:00,199:200:54:542,11,2018-10-04 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
177,6,2018-10-04,2018-10-04 9:18:00,199:200:54:542,8,2018-10-04 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
178,7,2018-10-04,2018-10-04 9:18:00,199:200:54:542,10,2018-10-04 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
179,8,2018-10-04,2018-10-04 9:22:00,199:200:54:542,9,2018-10-04 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
180,9,2018-10-04,2018-10-04 9:16:00,199:200:54:542,8,2018-10-04 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
181,10,2018-10-04,2018-10-04 9:21:00,199:200:54:542,4,2018-10-04 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
